Temp [c],Current (a.u.)
184.278,0.023
183.898,-0.002
183.288,0.014
182.498,0.015
181.739,0.03
181.394,0.019
180.421,0.011
179.731,0.018
179.062,0.017
178.832,0.016
178.191,0.018
177.11,0.023
175.969,0.02
176.429,0.03
175.002,0.023
174.415,0.02
173.613,0.029
172.831,0.019
172.075,0.015
172.036,0.023
171.206,0.032
170.849,0.031
169.589,0.017
169.54,0.022
168.916,0.023
168.068,0.021
167.366,0.021
166.836,0.028
166.581,0.007
166.157,0.009
165.176,0.022
165.183,0.015
164.452,0.036
163.862,0.011
164.035,0.017
162.901,0.025
162.215,0.021
162.062,0.016
161.812,0.023
160.44,0.014
160.941,0.021
160.123,0.019
159.254,0.021
159.133,0.023
158.72,0.026
157.873,0.016
157.14,0.019
156.952,0.008
155.664,0.026
155.854,0.033
155.272,0.009
155.127,0.022
154.485,0.027
153.844,0.013
153.624,0.014
152.611,0.02
151.886,0.016
151.155,0.014
151.9,0.007
150.534,0.023
150.022,0.025
149.874,0.02
149.174,0.018
149.06,0.015
148.451,0.017
147.708,0.02
146.703,0.024
146.612,0.032
147.023,0.02
145.38,0.031
145.899,0.016
144.402,0.031
144.148,0.028
143.838,0.019
144.143,0.022
143.06,0.024
142.866,0.03
143.025,0.022
142.235,0.028
141.363,0.018
141.377,0.019
140.716,0.023
141.085,0.025
139.915,0.018
139.883,0.012
139.465,0.015
138.747,0.023
138.425,0.02
137.753,0.032
137.581,0.032
137.084,0.035
136.778,0.029
136.772,0.016
135.717,0.023
135.664,0.015
135.995,0.034
135.405,0.038
134.704,0.027
134.454,0.032
134.001,0.034
134.016,0.026
133.386,0.036
133,0.034
132.643,0.033
132.724,0.04
132.354,0.033
131.46,0.035
131.173,0.037
131.406,0.036
131.587,0.03
130.606,0.039
131.003,0.037
130.559,0.036
130.071,0.032
129.629,0.036
129.76,0.03
128.829,0.029
128.979,0.033
128.419,0.052
128.552,0.028
127.83,0.035
127.659,0.047
127.303,0.037
126.971,0.031
126.589,0.037
126.463,0.027
126.008,0.026
126.109,0.024
125.616,0.05
125.163,0.071
125.203,0.049
125.608,0.028
124.096,0.033
124.624,0.029
124.327,-0.004
124.235,0.04
123.562,0.043
122.797,0.037
122.963,0.038
123.095,0.044
122.521,0.053
122.316,0.046
122.253,0.051
122.363,0.039
121.769,0.046
121.547,0.038
121.374,0.044
121.302,0.042
120.828,0.057
120.44,0.046
120.487,0.04
120.465,0.047
120.217,0.06
119.794,0.038
119.684,0.051
119.579,0.055
119.564,0.048
119.17,0.052
119.309,0.052
118.648,0.048
118.046,0.069
118.085,0.055
